en_word,uk_word
economy,економія
highest,найвищий
helpful,корисний
monthly,щомісяця
critical,критичний
frame,рамка
musical,мюзикл
definition,визначення
secretary,секретар
angeles,Анджелес
networking,мереж
path,шлях
australian,австралійський
employee,працівник
chief,начальник
gives,віддавати
bottom,дно
magazines,журнали
packages,пакети
detail,деталь
francisco,Франциско
laws,закони
changed,змінювати
pet,домашня тварина
heard,почув
begin,починати
individuals,особи
colorado,Колорадо
royal,королівський
clean,чистий
switch,перемикач
russian,російський
largest,найбільший
african,африканський
guy,горіх
titles,титули
relevant,відповідний
guidelines,керівні принципи
justice,справедливість
connect,з'єднувати
bible,Біблія
dev,ов
cup,чашка
basket,кошик
applied,застосований
weekly,щотижня
vol,об'єднання
installation,встановлення
described,описаний
demand,вимога
suite,люкс
vegas,Вегас
square,Майдан
chris,Кріс
attention,увага
advance,просуватися
skip,пропустити
diet,дієта
army,армія
auction,аукціон
gear,спорядження
lee,лай
difference,різниця
allowed,дозволений
correct,виправляти
charles,Чарльз
nation,нація
selling,продаж
lots,багато
piece,шматок
sheet,аркуш
firm,фірма
seven,сім
older,старший
illinois,Іллінойс
regulations,правила
elements,елементи
species,види
jump,стрибати
cells,клітини
module,модуль
resort,прибуток
facility,об'єкт
random,випадковий
pricing,ціноутворення
dvds,DVD -диски
certificate,сертифікат
minister,міністр
motion,рух
looks,погляди
fashion,мода
directions,напрямки
visitors,відвідувачі
documentation,документація
monitor,моніторинг
trading,торгівля
forest,лісовий
calls,дзвінок
whose,чиї
coverage,покриття
couple,пара
giving,надання
chance,шанс
vision,бачення
ball,куля
ending,закінчення
clients,клієнти
actions,дії
listen,слухати
discuss,обговорювати
accept,приймати
automotive,автомобільний
naked,голий
goal,ціль
successful,успішний
sold,проданий
wind,вітер
communities,громади
clinical,клінічний
situation,ситуація
sciences,наук
markets,ринки
lowest,найнижчий
highly,високо
publishing,видавництво
appear,з’являтися
emergency,надзвичайний
developing,що розвивається
lives,життя
currency,валюта
leather,шкіряний
determine,визначати
milf,матуся
temperature,температура
palm,долонь
announcements,оголошення
patient,пацієнт
actual,фактичний
historical,історичний
stone,камінь
bob,бити
commerce,комерція
ringtones,мелодії мелодії
perhaps,можливо
persons,осіб
difficult,важкий
scientific,науковий
satellite,супутник
fit,підходити
tests,тест
village,село
accounts,рахунки
amateur,аматор
met,зустрінетний
pain,біль
xbox,xbox
particularly,особливо
factors,фактори
coffee,кава
www,www
settings,налаштування
cum,сперма
buyer,покупець
cultural,культурний
steve,Стів
easily,легко
oral,усний
ford,форт
poster,плакат
edge,обрізати
functional,функціональний
root,корінь
closed,ЗАЧИНЕНО
holidays,свята
ice,крижаний
pink,рожевий
zealand,Зеландія
balance,балансувати
monitoring,моніторинг
graduate,випускник
replies,відповіді
shot,постріл
architecture,архітектура
initial,початковий
label,етикетка
thinking,мислення
scott,Скотт
llc,ТОВ
sec,секція
recommend,рекомендувати
canon,канон
hardcore,хардкор
league,ліга
waste,витрачати
minute,хвилина
bus,автобус
provider,постачальник
optional,необов'язковий
dictionary,словник
cold,холодний
accounting,бухгалтерський облік
manufacturing,виробництво
sections,розділи
chair,крісло
fishing,риболовля
effort,зусилля
phase,фаза
fields,поля
bag,мішок
fantasy,фантазія
letters,букви
motor,двигун
professor,професор
context,контекст
install,встановити
shirt,сорочка
apparel,одяг
generally,загалом
continued,продовжений
foot,стоп
mass,маса
crime,злочин
count,рахувати
breast,грудка
techniques,техніка
ibm,IBM
johnson,Джонсон
quickly,швидко
dollars,долари
websites,Веб -сайти
religion,релігія
claim,претензія
driving,водіння
permission,дозвіл
surgery,хірургія
patch,петля
heat,спека
wild,дивний
measures,заходи
generation,покоління
kansas,Канзас
miss,міс
chemical,хімічний
doctor,лікар
task,завзяти
reduce,зменшувати
brought,приносять
himself,сам
nor,не
component,компонент
enable,ввімкнути
exercise,вправа
bug,помилка
santa,Санта
mid,середина
guarantee,гарантія
leader,лідер
diamond,алмаз
israel,Ізраїль
processes,процеси
soft,м'який
servers,сервери
alone,самотній
meetings,зустрічі
seconds,секунди
jones,Джонс
arizona,Арізона
keyword,ключове слово
interests,інтереси
flight,виліт
congress,конгрес
fuel,паливо
username,Ім'я користувача
walk,ходити
fuck,ебать
produced,вироблений
italian,італійський
paperback,М'яка обкладинка
classifieds,Класифіковані
wait,чекати
supported,підтриманий
pocket,кишеньковий
saint,святий
rose,троянда
freedom,свобода
argument,аргумент
competition,змагання
creating,створення
jim,джим
drugs,наркотики
joint,суглоб
premium,премія
providers,провайдери
fresh,свіжий
characters,персонажі
attorney,адвокат
upgrade,оновлення
factor,фактор
growing,зростаючий
thousands,тисячі
stream,потік
apartments,квартири
pick,вибирати
hearing,слухання
eastern,східний
auctions,аукціони
therapy,терапія
entries,записи
dates,дат
generated,породжений
signed,підписаний
upper,верхній
administrative,адміністративний
serious,серйозний
prime,простигати
samsung,samsung
limit,обмежувати
began,розпочався
louis,Луї
steps,кроки
errors,помилки
shops,магазини
bondage,неволі
del,дел
efforts,зусилля
informed,поінформований
thoughts,думка
creek,крик
worked,працював
quantity,кількість
urban,міський
practices,практика
sorted,відсортований
reporting,звітування
essential,суттєвий
myself,себе
tours,тури
platform,платформа
load,навантажувати
affiliate,філій
labor,праця
immediately,негайно
admin,адміністратор
nursing,годування
defense,захист
machines,машини
designated,призначений
tags,теги
heavy,важкий
covered,покритий
recovery,відновлення
joe,Джо
guys,хлопці
integrated,інтегрований
configuration,конфігурація
cock,півень
merchant,торговець
comprehensive,всебічний
expert,експерт
universal,універсальний
protect,захищати
drop,опускатися
solid,суцільний
cds,компакт -диски
presentation,презентація
languages,мови
became,стався
orange,оранжевий
compliance,дотримання
vehicles,транспортні засоби
prevent,запобігати
theme,тема
rich,багатий
campaign,кампанія
marine,морський
improvement,вдосконалення
guitar,гітара
finding,пошук
pennsylvania,Пенсильванія
examples,Приклади
ipod,iPod
saying,приказка
spirit,дух
claims,претензії
porno,порно
challenge,оскаржувати
motorola,моторола
acceptance,прийняття
strategies,стратегії
seem,здатися
affairs,справи
touch,торкатися
intended,призначений
towards,до
goals,цілі
hire,найняти
election,вибори
suggest,пропонувати
branch,гілка
charges,звинувачення
serve,подавати
affiliates,філії
reasons,причини
magic,магія
mount,кріплення
smart,розумний
talking,розмова
gave,дав
ones,одиничний
latin,латинський
multimedia,мультимедіа
tits,сиськи
avoid,уникати
certified,сертифікований
manage,керувати
corner,куточок
rank,ранг
computing,обчислення
oregon,орегон
element,елемент
birth,народження
virus,вірус
abuse,зловживання
interactive,інтерактивний
requests,запити
separate,відокремлювати
quarter,чверть
procedure,процедура
leadership,лідерство
tables,столи
define,визначати
racing,перегони
religious,релігійний
facts,факти
breakfast,сніданок
kong,конг
column,стовпчик
plants,рослини
faith,віра
chain,ланцюг
developer,розробник
identify,визначати
avenue,проспект
missing,безпалудний
died,загинув
approximately,приблизно
domestic,домашній
sitemap,мая
recommendations,Рекомендації
moved,зворушений
houston,Х'юстон
reach,дістатися
comparison,порівняння
mental,психічний
viewed,переглянутий
moment,миттєво
extended,розширений
sequence,послідовність
inch,дюйм
attack,напад
sorry,виражений
centers,центри
opening,відкриття
damage,пошкодження
lab,лабораторія
reserve,резервувати
recipes,рецепти
cvs,CVS
gamma,гамма
plastic,пластиковий
produce,виробляти
snow,сніг
placed,розміщений
truth,правда
counter,протистояти
failure,несправність
follows,випливати
weekend,вихідні
dollar,долар
camp,табір
ontario,Онтаріо
automatically,автоматично
des,де
minnesota,Міннесота
films,фільми
bridge,мост
native,рідний
fill,наповнювати
williams,Вільямс
movement,рух
printing,друк
baseball,бейсбол
owned,належить
approval,затвердження
draft,розтягувати
chart,графік
played,розіграний
contacts,контакти
jesus,Ісус
readers,читачі
clubs,клуби
lcd,РК
jackson,джексон
equal,рівний
adventure,пригода
matching,відповідний
offering,пропозиція
shirts,сорочки
profit,прибуток
leaders,лідери
posters,плакат
institutions,установи
assistant,помічник
variable,змінний
ave,проспект
advertisement,реклама
expect,розраховувати
parking,парковка
headlines,заголовки
yesterday,вчора
compared,порівняно
determined,рішучий
wholesale,оптовий
workshop,семінар
russia,Росія
gone,пропав
codes,коди
kinds,види
extension,подовження
seattle,Сіетл
statements,твердження
golden,золотий
completely,повністю
teams,команд
fort,форт
lighting,освітлення
senate,сенат
forces,сили
funny,смішний
brother,брат
gene,ген
turned,обернутий
portable,портативний
tried,випробуваний
electrical,електричний
applicable,застосований
disc,диск
returned,повернутий
pattern,схема
hentai,хентай
boat,човен
named,названий
theatre,театр
laser,лазер
earlier,раніше
manufacturers,виробники
sponsor,спонсор
classical,класичний
icon,ікона
warranty,гарантія
dedicated,відданий
indiana,Індіана
direction,напрямок
harry,Гаррі
basketball,баскетбол
objects,об'єкти
ends,кінці
delete,видаляти
evening,вечір
assembly,складання
nuclear,ядерний
taxes,податки
mouse,миша
signal,сигнал
criminal,злочинний
issued,виданий
brain,мозок
sexual,сексуальний
wisconsin,Вісконсін
powerful,потужний
dream,мріяти
obtained,отриманий
false,помилковий
cast,касто
flower,квітка
felt,фетх
personnel,персонал
passed,пропущений
supplied,постачається
identified,ідентифікований
falls,падіння
pic,рис
soul,душа
aids,СНІД
opinions,думки
promote,сприяти
stated,заявлений
stats,статистика
hawaii,Гаваї
professionals,професіоналів
appears,з'являється
carry,перенести
flag,прапор
decided,вирішив
covers,обкладинка
advantage,перевага
hello,привіт
designs,конструкції
maintain,підтримувати
tourism,туризм
priority,пріоритет
newsletters,бюлетень
adults,дорослі
clips,кліпи
savings,заощадження
graphic,графічний
atom,атом
payments,виплати
estimated,оцінений
binding,зв'язування
brief,короткий
ended,закінчений
winning,виграш
eight,вісім
anonymous,анонімний
iron,прасувати
straight,прямо
script,сценарій
served,поданий
wants,бажати
miscellaneous,різний
prepared,підготовлений
void,порожня
dining,їдальня
alert,насторожений
integration,інтеграція
atlanta,Атланта
dakota,дакота
tag,мітка
interview,співбесіда
mix,суміш
framework,рамка
disk,диск
installed,встановлений
queen,королева
vhs,VHS
credits,кредити
clearly,чітко
fix,виправити
handle,ручка
sweet,солодкий
desk,стіл
criteria,критерії
pubmed,PubMed
dave,дейв
massachusetts,Массачусетс
diego,Дієго
hong,гонг
vice,порок
associate,асоційований
truck,вантажівка
behavior,поведінка
enlarge,збільшувати
ray,промінь
frequently,часто
revenue,дохід
measure,вимірювати
changing,зміна
votes,голосування
duty,обов'язок
looked,дивився
discussions,дискусія
bear,несучий
gain,виграш
festival,фестиваль
laboratory,лабораторія
ocean,океан
flights,рейси
experts,експерти
signs,знаки
lack,бракувати
depth,глибина
iowa,Айова
whatever,що б не був
logged,реєстраційний
laptop,ноутбук
vintage,вінтажний
train,дресирувати
exactly,точно
dry,сухий
explore,досліджувати
maryland,Меріленд
spa,спа -центр
concept,концепція
nearly,майже
eligible,придатний
checkout,перевірити
reality,реальність
forgot,забутий
handling,обробка
origin,походження
knew,знав
gaming,ігор
feeds,корми
billion,мільярд
destination,призначення
scotland,Шотландія
faster,швидше
intelligence,інтелект
dallas,даллас
bought,куплений
con,консерватор
ups,підйом
nations,нації
route,маршрут
followed,слід
specifications,специфікація
broken,зламаний
tripadvisor,TripAdvisor
frank,відвертий
alaska,Аляска
zoom,масштаб
blow,удар
battle,битва
residential,житловий
anime,аніме
speak,говорити
decisions,рішення
industries,індустрія
protocol,протокол
query,запит
clip,кліп
partnership,партнерство
editorial,редакційний
expression,вираз
equity,справедливість
provisions,положення
speech,промова
wire,дріт
principles,принципи
suggestions,пропозиції
rural,сільський
shared,спільний
sounds,звуки
replacement,заміна
tape,стрічка
strategic,стратегічний
judge,судити
spam,спам
economics,економіка
acid,кислот
bytes,байт
cent,стояти
forced,вимушений
compatible,сумісний
fight,бити
apartment,квартира
height,висота
zero,нуль
speaker,оратор
filed,поданий
netherlands,Нідерланди
obtain,отримати
consulting,консалтинг
recreation,відпочинок
offices,офіси
designer,дизайнер
remain,залишатися
managed,зухвалий
failed,провалився
marriage,шлюб
roll,рулон
korea,Корея
banks,банки
participants,учасники
secret,таємний
bath,ванна
kelly,Келлі
leads,привід
negative,негативний
austin,Остін
favorites,фаворити
toronto,Торонто
theater,театр
springs,пружини
missouri,Міссурі
andrew,Ендрю
var,var
perform,виконувати
healthy,здоровий
translation,переклад
estimates,оцінка
font,шрифт
assets,активи
injury,травма
joseph,Йосиф
ministry,служіння
drivers,водії
lawyer,юрист
figures,фігури
married,одружений
protected,захищений
proposal,пропозиція
sharing,спільне використання
philadelphia,Філадельфія
portal,портал
waiting,очікування
birthday,день народження
beta,бета
fail,провалити
gratis,беззвучний
banking,банківський
officials,чиновники
brian,Брайан
toward,до
won,вигравати
slightly,злегка
assist,сприяти
conduct,проводити
contained,містився
lingerie,білизна
shemale,транссексуал
legislation,законодавство
calling,покликання
parameters,параметри
jazz,джаз
serving,подача
bags,сумка
profiles,профілі
miami,Майамі
comics,комікси
matters,питання
houses,будинки
doc,доктор
postal,поштовий
relationships,відносини
tennessee,Теннессі
wear,носити
controls,управління
breaking,розрив
combined,комбінований
ultimate,остаточний
wales,Уельс
representative,представник
frequency,частота
introduced,введений
minor,неповнолітній
finish,закінчувати
departments,департаменти
residents,мешканці
noted,зазначений
displayed,показаний
mom,мама
reduced,зменшений
physics,фізика
rare,рідкісний
spent,витрачений
performed,виконаний
extreme,екстремальний
samples,зразки
davis,девіс
daniel,Даніель
bars,брус
reviewed,переглянутий
row,рядок
forecast,прогноз
removed,видалений
helps,допомога
singles,сингло
administrator,адміністратор
cycle,цикл
amounts,сума
contain,містити
accuracy,точність
dual,подвійний
rise,підніматися
usd,долар
sleep,сплячий
bird,птах
pharmacy,АПТЕКА
brazil,Бразилія
creation,створення
static,статичний
scene,сцена
hunter,мисливець
addresses,адреси
lady,леді
crystal,кристал
famous,відомий
writer,письменник
chairman,голова
violence,насильство
fans,шанувальники
oklahoma,Оклахома
speakers,оратори
drink,пити
academy,академія
dynamic,динамічний
gender,Стать
eat,їсти
permanent,постійний
agriculture,сільське господарство
dell,заглиблювати
cleaning,прибирання
constitutes,складати
portfolio,портфоліо
practical,практичний
delivered,доставлений
collectibles,колекціонування
infrastructure,інфраструктура
exclusive,ексклюзивний
seat,місце
concerns,занепокоєння
colour,забарвлення
vendor,продавець
originally,спочатку
intel,інтель
utilities,утиліта
philosophy,філософія
regulation,регулювання
officers,офіцери
reduction,зменшення
aim,мета
bids,торги
referred,направлений
supports,підтримка
nutrition,харчування
recording,запис
regions,регіони
junior,молодший
toll,плата
les,лес
cape,накидка
ann,рента
rings,кільця
meaning,значення
tip,порада
secondary,вторинний
wonderful,чудовий
mine,Шахта
ladies,дами
henry,генрі
ticket,квиток
announced,оголошений
guess,здогадуватися
agreed,узгоджений
prevention,запобігання
whom,хто
ski,лиж
soccer,футбол
math,математика
import,імпорт
posting,розміщення
presence,наявність
instant,мить
mentioned,згаданий
automatic,автоматичний
healthcare,охорона здоров'я
viewing,перегляд
maintained,підтриманий
increasing,зростання
majority,більшість
connected,з'єднаний
christ,христовий
dan,дан
dogs,собаки
directors,директори
aspects,аспекти
austria,Австрія
ahead,попереду
moon,місяць
participation,участь
scheme,схема
utility,корисність
preview,попередній перегляд
fly,літати
manner,манера
matrix,матриця
containing,що містить
combination,поєднання
devel,розгорнути
amendment,поправка
despite,незважаючи на
strength,міцність
guaranteed,гарантований
turkey,індичка
libraries,бібліотека
proper,належний
distributed,розподілений
degrees,ступінь
singapore,Сінгапур
enterprises,підприємства
delta,дельта
fear,битися
seeking,пошук
inches,дюйм
phoenix,фенікс
convention,конвенція
shares,акції
principal,директор
daughter,дочка
standing,стоячий
voyeur,вуайер
comfort,комфорт
colors,кольори
wars,війна
cisco,Cisco
ordering,замовлення
kept,збережений
alpha,альфа
appeal,звернення
cruise,круїз
bonus,бонус
certification,сертифікація
previously,раніше
hey,привіт
bookmark,закладка
buildings,будівлі
specials,спеціаліст
beat,бити
disney,Дісней
household,домашній
batteries,батареї
adobe,апетит
smoking,куріння
bbc,BBC
becomes,станеться
drives,накопичувач
arms,рука
alabama,Алабама
tea,чай
improved,вдосконалений
trees,дерева
avg,кістка
achieve,досягати
positions,позиції
dress,плаття
subscription,підписка
dealer,дилер
contemporary,сучасний
sky,небо
utah,Юта
nearby,поблизу
rom,ром
carried,перенесений
happen,траплятися
exposure,контакт
panasonic,панасонічний
hide,сховати
permalink,постійне посилання
signature,підпис
gambling,азартні ігри
refer,посилатися
miller,міллер
provision,забезпечення
outdoors,на відкритому повітрі
clothes,одяг
caused,спричинений
luxury,розкіш
babes,немовлята
frames,рамки
viagra,віагра
certainly,безумовно
indeed,дійсно
newspaper,газета
toy,іграшка
circuit,ланцюг
layer,шар
printed,надрукований
slow,повільно
removal,видалення
easier,простіший
src,SRC
liability,відповідальність
trademark,торгова марка
hip,стегно
printers,принтери
faqs,поширені запитання
nine,дев'ять
adding,додавання
kentucky,Кентуккі
mostly,здебільшого
eric,Ерік
spot,місце
taylor,Тейлор
trackback,трек
prints,відбитки
spend,витрачати
factory,фабрика
interior,інтер'єр
revised,переглянутий
grow,рости
americans,американці
optical,оптичний
promotion,просування
relative,відносний
amazing,дивовижний
clock,годинник
dot,крапка
hiv,ВІЛ
identity,особистість
suites,люкс
conversion,перетворення
feeling,почуття
hidden,прихований
reasonable,розумний
victoria,Вікторія
serial,серіал
relief,полегшення
revision,перегляд
broadband,широкосмуговий
influence,вплив
ratio,співвідношення
pda,КПК
importance,важливість
rain,дощ
onto,на
dsl,DSL
planet,планета
webmaster,веб -майстер
copies,копії
recipe,рецепт
zum,шум
permit,дозвіл
seeing,бачення
proof,обстеження
dna,ДНК
diff,різниця
tennis,теніс
bass,баса
prescription,припис
bedroom,спальня
empty,порожній
instance,екземпляр
hole,дірка
pets,домашні тварини
ride,їздити
licensed,ліцензований
orlando,Орландо
specifically,конкретно
tim,Тим
bureau,бюро
maine,Мен
sql,SQL
represent,представляти
conservation,збереження
pair,пара
ideal,ідеал
specs,характеристики
recorded,записаний
don,дратувати
pieces,штук
finished,закінчений
parks,парки
dinner,вечеря
lawyers,адвокати
sydney,Сідней
stress,стрес
cream,вершковий
runs,пробіг
trends,тенденції
yeah,так
discover,виявляти
sexo,сексо
patterns,візерунки
boxes,коробки
louisiana,Луїзіана
hills,пагорби
javascript,javaScript
fourth,четвертий
advisor,радник
marketplace,ринок
evil,зло
aware,усвідомлений
wilson,Вілсон
shape,форма
evolution,еволюція
irish,ірландський
certificates,сертифікати
objectives,цілі
stations,станції
suggested,запропонований
gps,GPS
remains,залишки
acc,АСК
greatest,найбільший
firms,фірми
concerned,стурбований
euro,євро
operator,оператор
structures,структури
generic,загальний
encyclopedia,Енциклопедія
usage,використання
cap,шапка
ink,чорнило
charts,діаграми
continuing,продовження
mixed,змішаний
census,перепис
interracial,міжрасовий
peak,вершина
competitive,змагальний
exist,існувати
wheel,колесо
transit,транзит
dick,хуй
suppliers,постачальники
salt,соляна
compact,компактний
poetry,поезія
lights,вогня
tracking,відстеження
angel,ангел
bell,дзвоник
keeping,утримання
preparation,підготовка
attempt,спроба
receiving,прийом
matches,сірники
accordance,відповідність
width,ширина
noise,шум
engines,двигуни
forget,забути
array,масив
discussed,обговорюваний
accurate,точний
stephen,Стівен
elizabeth,Єлизавета
climate,клімат
reservations,застереження
pin,шпилька
playstation,ігрова приставка
alcohol,алкоголь
greek,грецький
instruction,інструкція
managing,управління
annotation,анотація
sister,сестра
raw,сирий
differences,відмінності
walking,ходьба
explain,пояснювати
smaller,менший
newest,найновіший
establish,встановлювати
gnu,gnu
happened,сталося
expressed,виражений
jeff,Джефф
extent,обсяг
sharp,різкий
lesbians,лесбіянки
ben,Бен
lane,провулок
paragraph,абзац
kill,убити
mathematics,математика
aol,AOL
compensation,компенсація
export,експорт
managers,менеджери
aircraft,літак
modules,модулі
sweden,Швеція
conflict,конфлікт
conducted,проведений
versions,версії
employer,роботодавець
occur,виникати
percentage,відсоток
knows,знає
mississippi,Міссісіпі
describe,описувати
concern,турбота
backup,резервна коп
requested,запитуваний
citizens,громадяни
connecticut,коннектикут
heritage,спадщина
personals,персонал
immediate,негайний
holding,утримуючий
trouble,клопот
spread,поширення
coach,тренер
kevin,Кевін
agricultural,сільськогосподарський
expand,розширити
supporting,підтримка
audience,аудиторія
assigned,призначений
jordan,Йордан
collections,колекції
ages,віки
participate,брати участь
plug,штекер
specialist,фахівець
cook,готувати
affect,впливати
virgin,незайманий
experienced,досвідчений
investigation,розслідування
raised,піднятий
hat,шапка
institution,установа
directed,спрямований
dealers,дилери
searching,пошук
sporting,спортивний
helping,допомога
perl,перл
affected,постраждалий
lib,лій
bike,велосипед
totally,повністю
plate,тарілка
expenses,витрати
indicate,вказувати
blonde,блондинка
proceedings,судочинство
favourite,улюблений
transmission,спосіб передавання
anderson,Андерсон
utc,UTC
characteristics,характеристики
der,дер
lose,втрачати
organic,органічний
seek,шукати
experiences,досвід
albums,альбоми
cheats,чища
extremely,надзвичайно
verzeichnis,Верзіхніс
contracts,договори
guests,гості
hosted,розміщений
diseases,захворювання
concerning,стосовно
developers,розробники
equivalent,еквівалентний
chemistry,хімія
tony,тоні
neighborhood,сусідство
nevada,Невада
kits,набори
thailand,Таїланд
variables,змінні
agenda,порядок денний
anyway,у будь -якому випадку
continues,тривати
tracks,трек
advisory,консультативний
cam,кулачок
curriculum,навчальний план
logic,логіка
template,шаблон
prince,принц
circle,кола
soil,грунт
grants,гранти
anywhere,де завгодно
psychology,психологія
responses,відповіді
atlantic,Атлантичний
wet,мокрий
circumstances,обставини
edward,Едвард
investor,інвестор
identification,ідентифікація
ram,ОЗП
leaving,відхід
wildlife,дика природа
appliances,прилади
matt,матовий
elementary,елементарний
cooking,кулінарія
speaking,розмовляючи
sponsors,спонсори
fox,лисиця
unlimited,необмежений
respond,реагувати
sizes,розміри
plain,простий
exit,вихід
entered,введений
iran,іран
arm,рукоятка
keys,ключі
launch,запуск
wave,махати
checking,перевірка
costa,Коста
belgium,Бельгія
printable,друк
holy,святий
acts,дія
guidance,керівництво
mesh,сітка
trail,стежка
enforcement,виконання
symbol,символ
crafts,ремесла
highway,шосе
buddy,приятель
hardcover,тверда обкладинка
observed,спостережуваний
dean,декан
setup,налаштування
poll,опитування
booking,бронювання
glossary,глосарій
fiscal,фіскальний
celebrity,знаменитість
styles,стилі
denver,Денвер
unix,UNIX
filled,наповнений
bond,зв'язок
channels,канали
ericsson,Ерікссон
appendix,додаток
notify,повідомляти
blues,блюз
chocolate,шоколад
pub,паб
portion,порція
scope,обсяг
hampshire,Гемпшир
supplier,постачальник
cables,кабелі
cotton,бавовняний
bluetooth,Bluetooth
controlled,керований
requirement,вимога
authorities,влада
biology,біологія
dental,стоматологічний
killed,убито
border,кордон
ancient,древній
debate,дискусія
representatives,представники
starts,старти
pregnancy,вагітність
causes,причини
arkansas,Арканзас
biography,біографія
leisure,дозвілля
attractions,атракціони
learned,навчений
transactions,транзакції
notebook,зошит
explorer,дослідник
historic,історичний
attached,прикріплений
opened,відкритий
husband,чоловік
disabled,інвалід
authorized,уповноважений
crazy,божевільний
upcoming,майбутній
britain,Британія
concert,концерт
retirement,відставка
scores,бал
financing,фінансування
efficiency,ефективність
comedy,комедія
adopted,прийнятий
efficient,ефективний
weblog,веб -журнал
linear,лінійний
commitment,зобов'язання
specialty,спеціальність
bears,ведмедя
jean,джин
hop,скакати
carrier,перевізник
edited,редагований
constant,постійний
visa,віза
mouth,рота
jewish,єврейський
meter,метр
linked,пов'язаний
portland,Портленд
interviews,інтерв'ю
concepts,концепції
gun,рушниця
reflect,роздумати
pure,чистий
deliver,доставляти
wonder,диво
hell,пекло
lessons,уроки
fruit,фрукти
begins,починається
qualified,кваліфікований
reform,реформування
lens,об'єктив
alerts,попередження
treated,оброблений
discovery,відкриття
draw,витягувати
mysql,mysql
classified,класифікований
relating,відношення
assume,припускати
confidence,впевненість
alliance,альянс
confirm,підтверджувати
warm,зігрівати
neither,ні
lewis,Льюїс
howard,Говард
offline,офлайн
leaves,листя
engineer,інженер
lifestyle,спосіб життя
consistent,послідовний
replace,замінити
clearance,зазор
connections,з'єднання
inventory,інвентаризація
converter,перетворювач
suck,смоктати
organisation,організація
babe,немовля
checks,перевіряти
reached,дістаний
becoming,набуття
blowjob,мінет
safari,сафарі
objective,об'єктивний
indicated,вказаний
sugar,цукор
crew,екіпаж
legs,ноги
sam,Сем
stick,палиця
securities,цінні папери
allen,Аллен
pdt,PDT
relation,відношення
enabled,увімкнено
genre,жанр
slide,ковзати
montana,Монтана
volunteer,волонтер
